ENT_COMB,ENT,Entry,Row,Range,Block,Serpentine,treatment,Fall Alfalfa Stand Count,Fall IWG Stand Count,Fall Alfalfa Height,Fall IWG Height,Alfalfa winter survival,Spring Alfalfa stand count,Spring Alfalfa vigor,Spring Alfalfa maturity,Spring disease incidence,Spring disease severity,Spring Alfalfa height,Spring IWG height
7 IWAF-L-WI1,7,IWAF-L-WI1,1,1,1,1,monoculture,23,14,4.25,4.75,1,100,3,2,10,1,69.6,65.4
11 AVC2,11,AVC2,1,2,2,2,intercrop,28,42,5.25,9.75,1.2,95,4,3,20,1,69,79.6
13 AVC3,13,AVC3,1,3,3,3,intercrop,32,37,3.5,9,1.2,90,2,3,5,1,70,72.2
29 NY1713,29,NY1713,1,4,4,4,intercrop,25,39,5.25,9.75,1.2,95,4,3,20,2,67,72.2
19 INTALF20,19,INTALF20,2,4,4,5,intercrop,27,28,4.75,10.75,1.4,95,3,2,15,2,65.8,74
26 UMN #5560,26,UMN #5560,2,3,3,6,intercrop,33,33,4.5,8.5,1,95,3,3,15,2,66,74.6
5 IWAF-L-MN1,5,IWAF-L-MN1,2,2,2,7,intercrop,25,38,3.75,10.5,1.4,100,5,3,10,3,69.6,76.4
18 AVC14,18,AVC14,2,1,1,8,intercrop,33,28,5.25,10.25,1,95,4,3,20,1,60,61.8
6 IWAF-H-MN1,6,IWAF-H-MN1,3,1,1,9,intercrop,20,51,4,8,1.6,85,2,2,5,1,67,73.2
26 UMN #5560,26,UMN #5560,3,2,2,10,monoculture,30,20,3.25,3.75,1.2,90,2,2,0,0,59.8,70.4
27 UMN #5561,27,UMN #5561,3,3,3,11,intercrop,16,45,4.75,9.5,1.4,80,3,2,15,3,65.6,72.2
21 IAFAL-C3,21,IAFAL-C3,3,4,4,12,intercrop,20,37,2.75,7.75,1,80,2,2,10,1,66.6,68.6
22 UMN #4352,22,UMN #4352,4,4,4,13,intercrop,15,35,4.25,8.5,1.4,90,4,2,10,2,65.8,74.4
7 IWAF-L-WI1,7,IWAF-L-WI1,4,3,3,14,monoculture,32,27,3.25,3.5,1.4,95,5,3,15,1,70.8,71
29 NY1713,29,NY1713,4,2,2,15,intercrop,29,34,4.5,8.75,1,95,4,2,5,1,63.8,78.2
9 AVC1,9,AVC1,4,1,1,16,intercrop,35,37,5.25,9,1.2,100,5,3,10,1,71.6,78
16 AVC11,16,AVC11,5,1,1,17,intercrop,18,42,4.75,8.5,1.2,95,4,2,5,1,67.8,73.2
27 UMN #5561,27,UMN #5561,5,2,2,18,intercrop,20,45,4,7,1.4,90,3,2,5,1,67.8,77.8
8 IWAF-H-WI1,8,IWAF-H-WI1,5,3,3,19,intercrop,20,37,3.75,8.25,1,95,3,2,15,1,61.6,75.6
24 UMN #5553,24,UMN #5553,5,4,4,20,intercrop,25,40,5.25,9.25,1.6,95,4,2,15,1,53.8,69.4
6 IWAF-H-MN1,6,IWAF-H-MN1,6,4,4,21,intercrop,35,36,4.5,9.25,1,100,4,3,20,1,71.4,75
28 NY19-45,28,NY19-45,6,3,3,22,intercrop,33,46,3,8.5,2.2,80,1,2,5,1,60,76.8
9 AVC1,9,AVC1,6,2,2,23,intercrop,38,37,4.5,10,1.6,95,3,3,5,1,68.6,79.4
6 IWAF-H-MN1,6,IWAF-H-MN1,6,1,1,24,monoculture,24,33,4.5,3.75,1,100,4,2,15,2,67.8,67.2
17 AVC5,17,AVC5,7,1,1,25,intercrop,26,37,4.75,8.75,1.4,95,5,3,5,1,70.8,78.8
27 UMN #5561,27,UMN #5561,7,2,2,26,monoculture,23,20,3.5,3,2,95,1,2,10,1,61,59.6
10 AVC6,10,AVC6,7,3,3,27,intercrop,15,45,3.25,8.5,1.8,90,1,2,0,0,63,77.8
27 UMN #5561,27,UMN #5561,7,4,4,28,intercrop,13,39,4.5,8.5,1.4,90,2,2,10,1,63.6,70.2
8 IWAF-H-WI1,8,IWAF-H-WI1,8,4,4,29,intercrop,15,28,5,9.25,1.2,100,5,2,20,1,72.4,68.2
21 IAFAL-C3,21,IAFAL-C3,8,3,3,30,intercrop,19,38,2,8.25,1.8,95,2,2,0,0,63.4,75
5 IWAF-L-MN1,5,IWAF-L-MN1,8,2,2,31,monoculture,23,21,3.5,3,1,95,4,2,10,1,64.8,59.4
26 UMN #5560,26,UMN #5560,8,1,1,32,intercrop,27,35,3.25,9.25,1.2,100,3,3,10,1,71,75.4
28 NY19-45,28,NY19-45,9,1,1,33,intercrop,24,43,4.75,9.5,1,100,2,3,15,1,65.6,80.4
23 UMN #4353,23,UMN #4353,9,2,2,34,intercrop,19,39,3.75,9.5,1.2,95,1,3,10,1,66.4,75.2
2 IWAF-H-Base,2,IWAF-H-Base,9,3,3,35,intercrop,28,44,3.5,8.5,1,100,1,3,5,1,64.4,73.4
5 IWAF-L-MN1,5,IWAF-L-MN1,9,4,4,36,monoculture,29,21,4.75,5.5,1,90,4,2,15,2,65.8,61.4
1 IWAF-L-Base,1,IWAF-L-Base,10,4,4,37,intercrop,18,28,4.25,8.5,1,100,5,3,20,1,72.2,69.8
5 IWAF-L-MN1,5,IWAF-L-MN1,10,3,3,38,intercrop,17,31,3.75,8.75,1.2,85,3,3,0,0,66.2,74.2
24 UMN #5553,24,UMN #5553,10,2,2,39,intercrop,19,36,4,8.75,1.2,90,3,3,5,1,66.4,77
14 AVC9,14,AVC9,10,1,1,40,intercrop,20,24,4.5,9.25,1,100,5,3,5,1,78.6,77.8
29 NY1713,29,NY1713,11,1,1,41,intercrop,24,42,5,8,1.2,100,5,2,5,1,66.8,77.6
6 IWAF-H-MN1,6,IWAF-H-MN1,11,2,2,42,intercrop,22,51,4.25,8,1.2,95,4,2,0,0,69.4,75.8
25 UMN #5555,25,UMN #5555,11,3,3,43,intercrop,23,42,4.5,8.75,1.6,90,1,2,10,1,61.2,70.4
