Row,Range,Serpentine,Block,treatment,Subsample,Alfalfa height,Alfalfa_Height,Wheatgrass height,IWG_Height,Alfalfa maturity,Alfalfa spring stand count,lodging,disease incidence,disease severity
1,1,1,1,monoculture,1,50,46,50,47.66666667,6,100,1,0,0
1,1,1,1,monoculture,2,40,,45,,,,,,
1,1,1,1,monoculture,3,48,,48,,,,,,
1,2,2,2,intercrop,1,52,50.66666667,50,113.3333333,6,9,4,0,0
1,2,2,2,intercrop,2,45,,145,,,,,,
1,2,2,2,intercrop,3,55,,145,,,,,,
1,3,3,3,intercrop,1,35,40,140,141.6666667,6,100,6,5,1
1,3,3,3,intercrop,2,40,,130,,,,,,
1,3,3,3,intercrop,3,45,,155,,,,,,
1,4,4,4,intercrop,1,40,43.33333333,142,140.6666667,6,100,5,10,2
1,4,4,4,intercrop,2,50,,135,,,,,,
1,4,4,4,intercrop,3,40,,145,,,,,,
2,4,5,4,intercrop,1,60,50,165,138.3333333,6,9,7,0,0
2,4,5,4,intercrop,2,40,,130,,,,,,
2,4,5,4,intercrop,3,50,,120,,,,,,
2,3,6,3,intercrop,1,52,46.66666667,142,132.3333333,7,9,7,0,0
2,3,6,3,intercrop,2,43,,130,,,,,,
2,3,6,3,intercrop,3,45,,125,,,,,,
2,2,7,2,intercrop,1,50,61.66666667,126,127,6,100,4,0,0
2,2,7,2,intercrop,2,50,,125,,,,,,
2,2,7,2,intercrop,3,85,,130,,,,,,
2,1,8,1,intercrop,1,62,55,126,133.6666667,6,100,4,0,0
2,1,8,1,intercrop,2,45,,145,,,,,,
2,1,8,1,intercrop,3,58,,130,,,,,,
3,1,9,1,intercrop,1,65,58.33333333,110,116.6666667,8,100,4,5,2
3,1,9,1,intercrop,2,45,,100,,,,,,
3,1,9,1,intercrop,3,65,,140,,,,,,
3,2,10,2,monoculture,1,45,44,40,55,6,100,2,0,0
3,2,10,2,monoculture,2,35,,60,,,,,,
3,2,10,2,monoculture,3,52,,65,,,,,,
3,3,11,3,intercrop,1,44,44,80,78.33333333,6,100,5,15,1
3,3,11,3,intercrop,2,46,,75,,,,,,
3,3,11,3,intercrop,3,42,,80,,,,,,
3,4,12,4,intercrop,1,34,41.33333333,130,126.6666667,6,100,6,0,0
3,4,12,4,intercrop,2,38,,130,,,,,,
3,4,12,4,intercrop,3,52,,120,,,,,,
4,4,13,4,intercrop,1,40,40,120,123.3333333,6,100,3,20,2
4,4,13,4,intercrop,2,38,,135,,,,,,
4,4,13,4,intercrop,3,42,,115,,,,,,
4,3,14,3,monoculture,1,32,38,28,36,6,8,7,0,0
4,3,14,3,monoculture,2,40,,35,,,,,,
4,3,14,3,monoculture,3,42,,45,,,,,,
4,2,15,2,intercrop,1,62,57,130,136.6666667,8,7,1,0,0
4,2,15,2,intercrop,2,65,,130,,,,,,
