LOC,YEAR,ENT,Entry,Row,Range,Block,Serpentine,treatment,Alfalfa winter survival,Spring Alfalfa stand count,Spring Alfalfa vigor,Spring Alfalfa maturity,Spring disease incidence,Spring disease severity,Spring Alfalfa height,Spring IWG height,Summer Alfalfa height,Summer Wheatgrass height,Summer Alfalfa maturity,Summer Alfalfa stand count,Lodging,Summer disease incidence,Summer disease severity,Summer Alfalfa Biomass wet (g),Summer Weed Biomass wet (g),Summer IWG Biomass wet (g),Summer Grain Biomass wet (g),Summer Alfalfa Biomass dry (g),Summer Weed Biomass dry (g),Summer IWG Biomass dry (g),Summer Grain Biomass dry (g) ,Summer Grain Threshed (g),Alfalfa summer post harvest stand count,Vigor post summer harvest,Fall Alfalfa Maturity,Fall Alfalfa Height,Fall IWG Height,Fall Alfalfa Biomass wet (g),Fall Alfalfa Biomass dry (g),Fall Weed Biomass wet (g),Fall Weed Biomass dry (g),Fall IWG Biomass wet (g),Fall IWG Biomass dry (g)
NY_MG2,2025,7,IWAF-L-WI1,1,1,1,1,monoculture,1,100,3,2,10,1,69.6,65.4,46,47.6666667,6,100,1,0,0,473,147,,,159,65.6,,,,100,3,4,46.3333333,48.6666667,329,81.05,5,0.85,,
NY_MG2,2025,11,AVC2,1,2,2,2,intercrop,1.2,95,4,3,20,1,69,79.6,50.6666667,113.333333,6,9,4,0,0,145,26,,,47.9,22.8,,,,100,3,4,44,23.6666667,223,58.65,1,0,58,15.95
NY_MG2,2025,13,AVC3,1,3,3,3,intercrop,1.2,90,2,3,5,1,70,72.2,40,141.666667,6,100,6,5,1,150,49,,,53.7,28.5,,,,9,2,3,43.6666667,23.6666667,327,83.25,0,0,,
NY_MG2,2025,29,NY1713,1,4,4,4,intercrop,1.2,95,4,3,20,2,67,72.2,43.3333333,140.666667,6,100,5,10,2,57,80,,,20.5,34.9,,,,9,2,3,35.6666667,19.6666667,172,49.35,6,2.15,,
NY_MG2,2025,19,INTALF20,2,4,4,5,intercrop,1.4,95,3,2,15,2,65.8,74,50,138.333333,6,9,7,0,0,94,60,,,32.6,27,,,,100,2,4,31.3333333,19.3333333,168,48.05,7,0,43,14.15
NY_MG2,2025,26,UMN #5560,2,3,3,6,intercrop,1,95,3,3,15,2,66,74.6,46.6666667,132.333333,7,9,7,0,0,86,14,,,36.5,6.2,,,,100,3,4,50,20,352,95.75,4,1.45,,
NY_MG2,2025,5,IWAF-L-MN1,2,2,2,7,intercrop,1.4,100,5,3,10,3,69.6,76.4,61.6666667,127,6,100,4,0,0,278,17,,,91.8,13.2,,,,100,4,4,52.6666667,22.6666667,402,101.25,0,0,,
NY_MG2,2025,18,AVC14,2,1,1,8,intercrop,1,95,4,3,20,1,60,61.8,55,133.666667,6,100,4,0,0,253,85,,,80.1,37,,,,9,4,4,56.3333333,20,306,76.85,0,0,,
NY_MG2,2025,6,IWAF-H-MN1,3,1,1,9,intercrop,1.6,85,2,2,5,1,67,73.2,58.3333333,116.666667,8,100,4,5,2,465,54,,,156.2,26.1,,,,100,3,4,54.3333333,20.6666667,369,94.55,3,0.95,51,16.35
NY_MG2,2025,26,UMN #5560,3,2,2,10,monoculture,1.2,90,2,2,0,0,59.8,70.4,44,55,6,100,2,0,0,237,41,,,79.7,17.8,,,,100,3,4,50.6666667,40.6666667,282,68.05,25,5.85,,
NY_MG2,2025,27,UMN #5561,3,3,3,11,intercrop,1.4,80,3,2,15,3,65.6,72.2,44,78.3333333,6,100,5,15,1,123,45,,,47.2,21.3,,,,100,3,3,44.3333333,23.6666667,256,68.25,0,0.75,,
NY_MG2,2025,21,IAFAL-C3,3,4,4,12,intercrop,1,80,2,2,10,1,66.6,68.6,41.3333333,126.666667,6,100,6,0,0,88,20,,,36,8.6,,,,8,1,3,20.6666667,18,162,46.35,0,0.65,,
NY_MG2,2025,22,UMN #4352,4,4,4,13,intercrop,1.4,90,4,2,10,2,65.8,74.4,40,123.333333,6,100,3,20,2,52,57,,,19.6,18.7,,,,9,2,4,42,18.6666667,141,41.25,17,5.15,,
NY_MG2,2025,7,IWAF-L-WI1,4,3,3,14,monoculture,1.4,95,5,3,15,1,70.8,71,38,36,6,8,7,0,0,24,163,,,15.5,23.1,,,,100,2,4,35,43,222,57.05,19,4.55,,
NY_MG2,2025,29,NY1713,4,2,2,15,intercrop,1,95,4,2,5,1,63.8,78.2,57,136.666667,8,7,1,0,0,47,9,,,16.7,4.9,,,,100,3,3,41.3333333,20,196,51.55,11,3.45,,
NY_MG2,2025,9,AVC1,4,1,1,16,intercrop,1.2,100,5,3,10,1,71.6,78,51.6666667,108.333333,6,100,1,15,1,218,20,,,77.9,6.1,,,,100,4,3,40.6666667,20.3333333,280,74.45,5,0.75,,
NY_MG2,2025,16,AVC11,5,1,1,17,intercrop,1.2,95,4,2,5,1,67.8,73.2,52.6666667,125,6,100,1,0,0,191,49,,,56.4,22.1,,,,100,4,4,46.3333333,22.6666667,266,67.75,5,0.25,,
NY_MG2,2025,27,UMN #5561,5,2,2,18,intercrop,1.4,90,3,2,5,1,67.8,77.8,44,76.6666667,6,7,2,0,0,138,2,,,48.2,1,,,,100,2,4,46.6666667,23.3333333,232,60.75,1,0,,
NY_MG2,2025,8,IWAF-H-WI1,5,3,3,19,intercrop,1,95,3,2,15,1,61.6,75.6,43,86.6666667,6,9,7,0,0,34,4,,,10.9,3.2,,,,9,2,4,42,25.6666667,121,33.25,29,9.25,,
NY_MG2,2025,24,UMN #5553,5,4,4,20,intercrop,1.6,95,4,2,15,1,53.8,69.4,52,130,6,100,5,5,3,110,23,,,43,9.4,,,,100,3,5,48.6666667,22.3333333,285,79.65,1,0,,
NY_MG2,2025,6,IWAF-H-MN1,6,4,4,21,intercrop,1,100,4,3,20,1,71.4,75,50.6666667,121.666667,6,100,3,5,1,239,31,,,84.1,8.9,,,,100,4,4,49,19.3333333,267,73.05,2,0.55,,
NY_MG2,2025,28,NY19-45,6,3,3,22,intercrop,2.2,80,1,2,5,1,60,76.8,39.6666667,103.333333,6,9,7,0,0,111,16,,,61.1,4.4,,,,100,1,3,29.3333333,19.3333333,265,72.95,3,0.65,,
NY_MG2,2025,9,AVC1,6,2,2,23,intercrop,1.6,95,3,3,5,1,68.6,79.4,56.3333333,95,7,100,4,5,1,174,6,257,62,65.9,2.3,141.5,50.7,13.96,100,3,4,48.6666667,18.6666667,236,60.85,1,0.15,117,31.85
NY_MG2,2025,6,IWAF-H-MN1,6,1,1,24,monoculture,1,100,4,2,15,2,67.8,67.2,55.3333333,60,8,100,1,20,1,231,250,,,73.1,79.2,,,,100,4,5,55,34.6666667,334,82.25,4,0.45,,
NY_MG2,2025,17,AVC5,7,1,1,25,intercrop,1.4,95,5,3,5,1,70.8,78.8,49.3333333,126.666667,6,100,6,5,1,264,17,,,75.2,8.6,,,,100,3,4,55.3333333,24.3333333,332,84.35,4,0.75,72,18.15
NY_MG2,2025,27,UMN #5561,7,2,2,26,monoculture,2,95,1,2,10,1,61,59.6,50,50,6,9,1,0,0,185,75,,,67.7,27.3,,,,100,2,3,44.3333333,44.3333333,185,44.05,32,5.85,,
NY_MG2,2025,10,AVC6,7,3,3,27,intercrop,1.8,90,1,2,0,0,63,77.8,42.6666667,101.666667,7,8,6,0,0,101,52,,,33,22.3,,,,9,2,4,44.3333333,22.3333333,211,71.65,3,0.95,56,20.35
NY_MG2,2025,27,UMN #5561,7,4,4,28,intercrop,1.4,90,2,2,10,1,63.6,70.2,53.6666667,115,6,9,7,5,1,37,98,360,60,15.5,37.1,189.7,47.4,26.9,9,1,3,35.6666667,20,106,31.95,14,4.65,,
NY_MG2,2025,8,IWAF-H-WI1,8,4,4,29,intercrop,1.2,100,5,2,20,1,72.4,68.2,43.3333333,136.666667,8,100,6,20,2,77,59,,,28,18.6,,,,100,3,3,45.6666667,22.6666667,401,109.75,8,2.35,,
NY_MG2,2025,21,IAFAL-C3,8,3,3,30,intercrop,1.8,95,2,2,0,0,63.4,75,36,95,6,100,3,0,0,90,6,,,34.5,1.3,,,,9,1,2,20.6666667,19,133,34.85,16,0.65,79,25.35
NY_MG2,2025,5,IWAF-L-MN1,8,2,2,31,monoculture,1,95,4,2,10,1,64.8,59.4,43,47,6,100,4,0,0,90,36,,,29.5,7,,,,100,3,3,46,36,277,66.45,38,7.15,,
NY_MG2,2025,26,UMN #5560,8,1,1,32,intercrop,1.2,100,3,3,10,1,71,75.4,51,131.666667,6,9,3,5,1,590,25,379,51,179.4,13.3,210.5,39.9,22.28,100,5,5,58.6666667,19.6666667,541,135.95,4,0.55,,
