,LOC,Entry,Rep,Row,Col,Row2,Col2,serpentine,selected,selection_location,selected_type,selected_category,First_Summer_ALF_Height,First_Summer_IWG_Height_log,First_Summer_Maturity,First_Yr_Regrowth_Vigor,First_Summer_ALF_Biomass_sqrt,First_Summer_IWG_Biomass_log,First_Summer_Lodging,First_Yr_Regrowth_Vigor2
1,KS,UMN5555,9,1,2,22.5,27.5,1,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,KS,IWAF-L-WI1,9,2,10,20.5,187.5,10,selected,WI,WI_IWG,WI_IWG,-3.450089848,NA,8,NA,350.8634425,NA,0,NA
3,KS,UMN5560,12,12,10,0.5,187.5,100,selected,MN,MN_Maize,MN_Maize,-1.15383869,NA,8,NA,NA,NA,0,NA
4,KS,UMN5555,12,12,9,0.5,167.5,101,other,NA,NA,NA,0,NA,8,NA,NA,NA,0,NA
5,KS,AVC4,12,12,8,0.5,147.5,102,base,NA,NA,base_WI,-12.64740494,NA,8,NA,NA,NA,0,NA
6,KS,AVC6,12,12,7,0.5,127.5,103,selected,WI,WI_Maize,WI_Maize,6.260983546,NA,9,NA,426.0567337,NA,0,NA
7,KS,AVC11,12,12,6,0.5,107.5,104,selected,WI,WI_Maize,WI_Maize,-0.147404935,NA,8,NA,385.0694914,NA,1,NA
8,KS,IWAF-L-KS1,12,12,5,0.5,87.5,105,selected,KS,KS_IWG,KS_IWG,2.707468563,4.787491743,8,NA,428.2945726,11.82555055,1,NA
9,KS,AVC1,12,12,4,0.5,67.5,106,base,NA,NA,base_WI,6.917082383,NA,8,NA,398.4896065,NA,1,NA
10,KS,INTALF20,12,12,3,0.5,47.5,107,selected,WI,WI_Maize,WI_Maize,-1.684266221,NA,8,NA,338.6946058,NA,0,NA
11,KS,IWAF-H-KS2,12,12,2,0.5,27.5,108,selected,KS,KS_IWG,KS_IWG,NA,NA,NA,NA,NA,NA,NA,NA
12,KS,AVC6,9,2,9,20.5,167.5,11,selected,WI,WI_Maize,WI_Maize,-9.800838879,NA,8,NA,260.319524,NA,2,NA
13,KS,AVC14,9,2,8,20.5,147.5,12,selected,WI,WI_Maize,WI_Maize,5.09864906,NA,9,NA,407.8423129,NA,1,NA
14,KS,AVC9,9,2,7,20.5,127.5,13,selected,WI,WI_Maize,WI_Maize,9.39795383,NA,8,NA,203.0075851,NA,0,NA
15,KS,UMN4353,9,2,6,20.5,107.5,14,other,NA,NA,NA,-2.13E-14,NA,6,NA,285.053987,NA,2,NA
16,KS,UMN5561,9,2,5,20.5,87.5,15,selected,MN,MN_Maize,MN_Maize,4.517965487,NA,9,NA,321.3139157,NA,0,NA
17,KS,IWAF-L-Base,9,2,4,20.5,67.5,16,base,NA,NA,base_L,12.24548723,NA,8,NA,295.1231845,NA,0,NA
18,KS,INTALF20,9,2,3,20.5,47.5,17,selected,WI,WI_Maize,WI_Maize,-1.230190083,NA,8,NA,291.3196583,NA,0,NA
19,KS,Larry15,9,2,2,20.5,27.5,18,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,KS,IWAF-L-KS1,9,3,2,18.5,27.5,19,selected,KS,KS_IWG,KS_IWG,NA,NA,NA,NA,NA,NA,NA,NA
21,KS,AVC1,9,1,3,22.5,47.5,2,base,NA,NA,base_WI,-6.037558857,NA,6,NA,214.7045593,NA,0,NA
22,KS,IWAF-L-MN1,9,3,3,18.5,47.5,20,selected,MN,MN_IWG,MN_IWG,0.762835749,NA,7,NA,289.3073791,NA,1,NA
23,KS,IWAF-H-WI1,9,3,4,18.5,67.5,21,selected,WI,WI_IWG,WI_IWG,-1.012462057,NA,7,NA,311.0681818,NA,1,NA
24,KS,AVC5,9,3,5,18.5,87.5,22,base,NA,NA,base_WI,-4.636790758,4.892852258,6,NA,309.8707744,12.27286277,1,NA
25,KS,UMN5560,9,3,6,18.5,107.5,23,selected,MN,MN_Maize,MN_Maize,0.966904128,NA,6,NA,334.9101898,NA,0,NA
26,KS,UMN4352,9,3,7,18.5,127.5,24,other,NA,NA,NA,7.105427357601e-15,NA,7,NA,309.5278072,NA,2,NA
27,KS,AVC4,9,3,8,18.5,147.5,25,base,NA,NA,base_WI,2.806671203,NA,7,NA,401.1462333,NA,0,NA
28,KS,IAFAL-C3,9,3,9,18.5,167.5,26,other,NA,NA,NA,3.072569779,NA,8,NA,264.7697528,NA,0,NA
29,KS,IWAF-H-KS2,9,3,10,18.5,187.5,27,selected,KS,KS_IWG,KS_IWG,-0.405656523,NA,8,NA,320.4864255,NA,0,NA
30,KS,IAFAL-C3,10,4,10,16.5,187.5,28,other,NA,NA,NA,-8.285199817,NA,8,NA,326.3975338,NA,2,NA
31,KS,AVC2,10,4,9,16.5,167.5,29,base,NA,NA,base_WI,-2.69891904,NA,8,NA,402.3359924,NA,4,NA
32,KS,AVC11,9,1,4,22.5,67.5,3,selected,WI,WI_Maize,WI_Maize,-7.951278079,NA,7,NA,185.2241726,NA,2,NA
33,KS,IWAF-H-KS2,10,4,8,16.5,147.5,30,selected,KS,KS_IWG,KS_IWG,NA,NA,NA,NA,NA,NA,NA,NA
